id,gene,gene_id,description
gene2440,yfeR,gene:BAA16280,predicted DNA-binding transcriptional regulator
gene2441,yfeH,gene:BAA16281,predicted inner membrane protein
gene2442,ypeB,gene:BAE76710,hypothetical protein
gene2443,ligA,gene:BAA16282,DNA ligase%2C NAD(+)-dependent
gene2444,zipA,gene:BAA16284,cell division protein involved in Z ring assembly
gene2445,cysZ,gene:BAA16287,predicted inner membrane protein
gene2446,cysK,gene:BAA16288,cysteine synthase A%2C O-acetylserine sulfhydrolase A subunit
gene2447,ptsH,gene:BAA16289,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)
gene2448,ptsI,gene:BAA16290,PEP-protein phosphotransferase of PTS system
gene2449,crr,gene:BAA16291,glucose-specific enzyme IIA component of PTS
gene2450,pdxK,gene:BAA16292,pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
gene2451,yfeK,gene:BAA16293,hypothetical protein
gene2452,yfeS,gene:BAA16294,conserved hypothetical protein
gene2453,cysM,gene:BAA16295,cysteine synthase B
gene2454,cysA,gene:BAA16296,sulfate/thiosulfate transporter subunit
gene2455,cysW,gene:BAA16297,sulfate/thiosulfate transporter subunit
gene2456,cysU,gene:BAA16298,sulfate/thiosulfate transporter subunit
gene2457,cysP,gene:BAA16299,thiosulfate transporter subunit
gene2458,ucpA,gene:BAA16309,predicted oxidoredutase%2C sulfate metabolism protein
gene2459,yfeT,gene:BAA16310,predicted DNA-binding transcriptional regulator
gene2460,yfeU,gene:BAA16312,predicted PTS component
gene2461,murP,gene:BAA16313,fused predicted enzyme IIBC components of PTS
gene2462,yfeW,gene:BAA16314,predicted periplasmic esterase
gene2463,yfeX,gene:BAE76711,conserved hypothetical protein
gene2464,yfeY,gene:BAE76712,hypothetical protein
gene2465,yfeZ,gene:BAE76713,predicted inner membrane protein
gene2466,ypeA,gene:BAE76714,predicted acyltransferase with acyl-CoA N-acyltransferase domain
gene2467,amiA,gene:BAA16318,N-acetylmuramoyl-l-alanine amidase I
gene2468,hemF,gene:BAA16319,coproporphyrinogen III oxidase
gene2469,yfeG,gene:BAA16320,predicted DNA-binding transcriptional regulator
gene2470,yffI,gene:BAA16321,predicted carboxysome structural protein with predicted role in ethanolamine utilization
gene2471,eutL,gene:BAE76715,predicted carboxysome structural protein with predicted role in ethanolamine utilization
gene2472,eutC,gene:BAA16322,ethanolamine ammonia-lyase%2C small subunit (light chain)
gene2473,eutB,gene:BAA16323,ethanolamine ammonia-lyase%2C large subunit%2C heavy chain
gene2474,eutA,gene:BAE76716,reactivating factor for ethanolamine ammonia lyase
gene2475,eutH,gene:BAA16330,predicted inner membrane protein
gene2476,eutG,gene:BAA16331,predicted alcohol dehydrogenase in ethanolamine utilization
gene2477,eutJ,gene:BAA16332,predicted chaperonin%2C ethanolamine utilization protein
gene2478,eutE,gene:BAA16333,predicted aldehyde dehydrogenase%2C ethanolamine utilization protein
gene2479,cchB,gene:BAA16334,predicted carboxysome structural protein%2C ethanolamine utilization protein
gene2480,cchA,gene:BAA16335,predicted carboxysome structural protein%2C ethanolamine utilization protein
gene2481,eutI,gene:BAA16336,predicted phosphotransacetylase subunit
gene2482,eutT,gene:BAE76717,predicted cobalamin adenosyltransferase in ethanolamine utilization
gene2483,eutQ,gene:BAE76718,conserved hypothetical protein
gene2484,eutP,gene:BAE76719,conserved hypothetical protein with nucleoside triphosphate hydrolase domain
gene2485,ypfE,gene:BAE76720,predicted carboxysome structural protein with predicted role in ethanol utilization
gene2486,maeB,gene:BAA16337,fused malic enzyme predicted oxidoreductase and predicted phosphotransacetylase
gene2487,talA,gene:BAA16339,transaldolase A
gene2488,tktB,gene:BAA16340,transketolase 2%2C thiamin-binding
gene2489,ypfG,gene:BAE76721,hypothetical protein
gene2490,yffH,gene:BAA16341,predicted NUDIX hydrolase
gene2491,aegA,gene:BAA16342,fused predicted FeS binding subunit and predicted NAD/FAD-binding subunit of oxidoreductase
gene2492,narQ,gene:BAA16343,sensory histidine kinase in two-component regulatory system with NarP (NarL)
gene2493,acrD,gene:BAA16344,aminoglycoside/multidrug efflux system
gene2494,yffB,gene:BAA16345,conserved hypothetical protein
gene2495,dapE,gene:BAA16346,N-succinyl-diaminopimelate deacylase
gene2496,ypfN,gene:BAA16347,hypothetical protein
gene2497,ypfH,gene:BAE76722,predicted hydrolase
gene2498,ypfI,gene:BAA16352,predicted hydrolase
gene2499,ypfJ,gene:BAE76723,conserved hypothetical protein
gene2500,purC,gene:BAA16353,phosphoribosylaminoimidazole-succinocarboxamide synthetase
gene2501,nlpB,gene:BAA16354,lipoprotein
gene2502,dapA,gene:BAA16355,dihydrodipicolinate synthase
gene2503,gcvR,gene:BAA16356,DNA-binding transcriptional repressor%2C regulatory protein accessory to GcvA
gene2504,bcp,gene:BAA16358,thiol peroxidase%2C thioredoxin-dependent
gene2505,hyfA,gene:BAA16359,hydrogenase 4%2C 4Fe-4S subunit
gene2506,hyfB,gene:BAA16360,hydrogenase 4%2C membrane subunit
gene2507,hyfC,gene:BAA16361,hydrogenase 4%2C membrane subunit
gene2508,hyfD,gene:BAA16372,hydrogenase 4%2C membrane subunit
gene2509,hyfE,gene:BAA16373,hydrogenase 4%2C membrane subunit
gene2510,hyfF,gene:BAA16374,hydrogenase 4%2C membrane subunit
gene2511,hyfG,gene:BAA16375,hydrogenase 4%2C subunit
gene2512,hyfH,gene:BAA16376,hydrogenase 4%2C Fe-S subunit
gene2513,hyfI,gene:BAA16377,hydrogenase 4%2C Fe-S subunit
gene2514,hyfJ,gene:BAA16378,predicted processing element hydrogenase 4
gene2515,hyfR,gene:BAA16380,DNA-binding transcriptional activator%2C formate sensing
gene2516,focB,gene:BAA16381,predicted formate transporter
gene2517,yfgO,gene:BAA16382,predicted inner membrane protein
gene2518,yfgC,gene:BAE76724,predicted peptidase
gene2519,yfgD,gene:BAA16383,predicted oxidoreductase
gene2520,hda,gene:BAA16384,ATPase regulatory factor involved in DnaA inactivation
gene2521,uraA,gene:BAA16385,uracil transporter
gene2522,upp,gene:BAA16386,uracil phosphoribosyltransferase
gene2523,purM,gene:BAA16387,phosphoribosylaminoimidazole synthetase
gene2524,purN,gene:BAA16388,phosphoribosylglycinamide formyltransferase 1
gene2525,ppk,gene:BAA16389,polyphosphate kinase%2C component of RNA degradosome
gene2526,ppx,gene:BAA16390,exopolyphosphatase
gene2527,yfgF,gene:BAA16393,predicted inner membrane protein
gene2528,yfgG,gene:BAE76725,hypothetical protein
gene2529,yfgH,gene:BAE76726,predicted outer membrane lipoprotein
gene2530,yfgI,gene:BAE76727,conserved hypothetical protein
gene2531,guaA,gene:BAA16394,GMP synthetase
gene2532,guaB,gene:BAA16395,IMP dehydrogenase
gene2533,xseA,gene:BAA16396,exonuclease VII%2C large subunit
gene2534,yfgJ,gene:BAE76728,hypothetical protein
gene2535,der,gene:BAA16397,predicted GTP-binding protein
gene2536,yfgL,gene:BAA16398,protein assembly complex%2C lipoprotein component
gene2537,yfgM,gene:BAA16399,conserved hypothetical protein
gene2538,hisS,gene:BAA16401,histidyl tRNA synthetase
gene2539,ispG,gene:BAA16402,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
gene2540,yfgA,gene:BAA16403,conserved hypothetical protein
gene2541,yfgB,gene:BAA16404,hypothetical protein
gene2542,ndk,gene:BAA16405,multifunctional nucleoside diphosphate kinase%2C apyrimidinic endonuclease%2C and 3'-phosphodiesterase
gene2543,pbpC,gene:BAA16410,fused transglycosylase and transpeptidase
gene2544,yfhM,gene:BAE76729,conserved hypothetical protein
gene2545,sseA,gene:BAA16411,3-mercaptopyruvate sulfurtransferase
gene2546,ryfA,gene:EBG00001131797,
gene2547,sseB,gene:BAA16412,rhodanase-like enzyme%2C sulfur transfer from thiosulfate
gene2548,pepB,gene:BAA16413,aminopeptidase B
gene2549,yfhJ,gene:BAA16414,conserved hypothetical protein
gene2550,fdx,gene:BAA16415,[2Fe-2S] ferredoxin
gene2551,hscA,gene:BAA16420,DnaK-like molecular chaperone specific for IscU
gene2552,hscB,gene:BAA16421,DnaJ-like molecular chaperone specific for IscU
gene2553,iscA,gene:BAA16422,FeS cluster assembly protein
gene2554,iscU,gene:BAA16423,scaffold protein
gene2555,iscS,gene:BAA16424,cysteine desulfurase (tRNA sulfurtransferase)%2C PLP-dependent
gene2556,iscR,gene:BAA16425,DNA-binding transcriptional activator
gene2557,yfhQ,gene:BAA16426,predicted methyltransferase
gene2558,suhB,gene:BAA16427,inositol monophosphatase
gene2559,yfhR,gene:BAA16428,predicted peptidase
gene2560,csiE,gene:BAA16429,stationary phase inducible protein
gene2561,hcaT,gene:BAA16431,predicted 3-phenylpropionic transporter
gene2562,hcaR,gene:BAA16432,DNA-binding transcriptional regulator
gene2563,hcaE,gene:BAA16441,3-phenylpropionate dioxygenase%2C large (alpha) subunit
gene2564,hcaF,gene:BAA16442,3-phenylpropionate dioxygenase%2C small (beta) subunit
gene2565,hcaC,gene:BAA16443,3-phenylpropionate dioxygenase%2C predicted ferredoxin subunit
gene2566,hcaB,gene:BAA16444,2%2C3-dihydroxy-2%2C3-dihydrophenylpropionate dehydrogenase
gene2567,hcaD,gene:BAA16445,phenylpropionate dioxygenase%2C ferredoxin reductase subunit
gene2568,yphA,gene:BAA16446,predicted inner membrane protein
gene2569,yphB,gene:BAE76730,conserved hypothetical protein
gene2570,yphC,gene:BAA16447,predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding
gene2571,yphD,gene:BAA16448,predicted sugar transporter subunit
gene2572,yphE,gene:BAA16449,fused predicted sugar transporter subunits and ATP-binding components of ABC superfamily
gene2573,yphF,gene:BAA16457,predicted sugar transporter subunit
gene2574,yphG,gene:BAE76731,conserved hypothetical protein
gene2575,yphH,gene:BAA16458,predicted DNA-binding transcriptional regulator
gene2576,glyA,gene:BAA16459,serine hydroxymethyltransferase
gene2577,hmp,gene:BAA16460,fused nitric oxide dioxygenase and dihydropteridine reductase 2
gene2578,glnB,gene:BAA16461,regulatory protein P-II for glutamine synthetase
gene2579,yfhA,gene:BAA16462,predicted DNA-binding response regulator in two-component system
gene2580,yfhG,gene:BAA16463,conserved hypothetical protein
gene2581,yfhK,gene:BAE76732,predicted sensory kinase in two-component system
gene2582,sroF,,
gene2583,purL,gene:BAE76733,phosphoribosylformyl-glycineamide synthetase
gene2584,yfhD,gene:BAE76734,predicted transglycosylase
gene2585,tadA,gene:BAE76735,tRNA-specific adenosine deaminase
gene2586,yfhB,gene:BAE76736,conserved hypothetical protein
gene2587,yfhH,gene:BAE76737,predicted DNA-binding transcriptional regulator
gene2588,yfhL,gene:BAE76738,predicted 4Fe-4S cluster-containing protein
gene2589,acpS,gene:BAE76739,holo-[acyl-carrier-protein] synthase 1
gene2590,pdxJ,gene:BAE76740,pyridoxine 5'-phosphate synthase
gene2591,recO,gene:BAE76741,gap repair protein
gene2592,era,gene:BAE76742,membrane-associated%2C 16S rRNA-binding GTPase
gene2593,rnc,gene:BAE76743,RNase III
gene2594,lepB,gene:BAE76744,leader peptidase
gene2595,lepA,gene:BAE76745,GTP binding membrane protein
gene2596,rseC,gene:BAE76746,RseC protein involved in reduction of the SoxR iron-sulfur cluster
gene2597,rseB,gene:BAE76747,anti-sigma factor
gene2598,rseA,gene:BAE76748,anti-sigma factor
gene2599,rpoE,gene:BAE76749,RNA polymerase%2C sigma 24 (sigma E) factor
gene2600,nadB,gene:BAE76750,quinolinate synthase%2C L-aspartate oxidase (B protein) subunit
gene2601,yfiC,gene:BAE76751,predicted methyltransferase
gene2602,srmB,gene:BAE76752,ATP-dependent RNA helicase
gene2603,yfiE,gene:BAA20920,predicted DNA-binding transcriptional regulator
gene2604,yfiK,gene:BAA16464,neutral amino-acid efflux system
gene2605,yfiD,gene:BAA16465,pyruvate formate lyase subunit
gene2606,ung,gene:BAA16466,uracil-DNA-glycosylase
gene2607,yfiF,gene:BAA16467,predicted methyltransferase
gene2608,trxC,gene:BAA16469,thioredoxin 2
gene2609,yfiP,gene:BAE76753,conserved hypothetical protein
gene2610,yfiQ,gene:BAE76754,fused predicted acyl-CoA synthetase NAD(P)-binding subunit and ATP-binding subunit
gene2611,pssA,gene:BAA16470,phosphatidylserine synthase
gene2612,yfiM,gene:BAA16471,hypothetical protein
gene2613,kgtP,gene:BAA16472,alpha-ketoglutarate transporter
gene2614,rrfG,,
gene2615,rrlG,,
gene2616,gltW,,
gene2617,rrsG,,
gene2618,clpB,gene:BAA16476,protein disaggregation chaperone
gene2619,yfiH,gene:BAA16477,conserved hypothetical protein
gene2620,rluD,gene:BAA16479,23S rRNA pseudouridine synthase
gene2621,yfiO,gene:BAA16480,predicted lipoprotein
gene2622,yfiA,gene:BAA16481,cold shock protein associated with 30S ribosomal subunit
gene2623,pheL,gene:BAE76755,pheA gene leader peptide
gene2624,pheA,gene:BAA16484,fused chorismate mutase P and prephenate dehydratase
gene2625,tyrA,gene:BAA16485,fused chorismate mutase T and prephenate dehydrogenase
gene2626,aroF,gene:BAA16487,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase%2C tyrosine-repressible
gene2627,yfiL,gene:BAA16488,hypothetical protein
gene2628,yfiR,gene:BAE76756,hypothetical protein
gene2629,yfiN,gene:BAA16489,predicted diguanylate cyclase
gene2630,yfiB,gene:BAA16490,predicted outer membrane lipoprotein
gene2631,rplS,gene:BAA16491,50S ribosomal subunit protein L19
gene2632,trmD,gene:BAA16492,tRNA (guanine-1-)-methyltransferase
gene2633,rimM,gene:BAA16493,16S rRNA processing protein
gene2634,rpsP,gene:BAA16494,30S ribosomal subunit protein S16
gene2635,ffh,gene:BAA16495,Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)
gene2636,ypjD,gene:BAE76757,predicted inner membrane protein
gene2637,yfjD,gene:BAA16497,predicted inner membrane protein
gene2638,grpE,gene:BAA16498,heat shock protein
gene2639,yfjB,gene:BAA16500,NAD kinase
gene2640,recN,gene:BAA16501,recombination and repair protein
gene2641,smpA,gene:BAA16502,small membrane lipoprotein
gene2642,yfjF,gene:BAA16503,hypothetical protein
gene2643,yfjG,gene:BAA16504,conserved hypothetical protein
gene2644,smpB,gene:BAA16505,trans-translation protein
gene2645,ssrA,gene:EBG00000622969,
gene2646,intA,gene:BAA20921,integrase
gene2647,yfjH,gene:BAE76758,hypothetical protein
gene2648,alpA,gene:BAE76759,DNA-binding transcriptional activator
gene2649,yfjI,gene:BAE76760,hypothetical protein
gene2650,yfjJ,gene:BAE76761,hypothetical protein
gene2651,yfjK,gene:BAE76762,conserved hypothetical protein
gene2652,yfjL,gene:BAE76763,hypothetical protein
gene2653,yfjM,gene:BAE76764,hypothetical protein
gene2654,yfjN,gene:BAE76765,hypothetical protein
gene2655,yfjO,gene:BAE76766,hypothetical protein
gene2656,yfjP,gene:BAE76767,predicted GTP-binding protein
gene2657,yfjQ,gene:BAE76768,hypothetical protein
gene2658,yfjR,gene:BAE76769,predicted DNA-binding transcriptional regulator
gene2659,ypjK,gene:BAE76770,predicted inner membrane protein
gene2660,yfjS,gene:BAE76771,hypothetical protein
gene2661,yfjT,gene:BAE76772,hypothetical protein
gene2662,yfjU,gene:BAA16506,conserved hypothetical protein
gene2663,ypjL,gene:BAA16507,predicted inner membrane protein
gene2664,yfjV,gene:BAA16508,hypothetical protein
gene2665,ypjM,,
gene2666,yfjW,gene:BAA16510,predicted inner membrane protein
gene2667,yfjX,gene:BAA16511,predicted antirestriction protein
gene2668,yfjY,gene:BAA16512,predicted DNA repair protein
gene2669,ypjJ,gene:BAE76773,hypothetical protein
gene2670,yfjZ,gene:BAA16513,antitoxin of the YpjF-YfjZ toxin-antitoxin system
gene2671,ypjF,gene:BAE76774,toxin of the YpjF-YfjZ toxin-antitoxin system
gene2672,ypjA,gene:BAA16514,adhesin-like autotransporter
gene2673,pinH,,
gene2674,ypjB,gene:BAE76775,hypothetical protein
gene2675,ypjC,gene:BAE76776,hypothetical protein
gene2676,ileY,,
gene2677,ygaQ,gene:BAE76777,hypothetical protein
gene2678,ygaR,gene:BAA16517,hypothetical protein
gene2679,yqaC,,
gene2680,yqaD,gene:BAE76778,conserved hypothetical protein
gene2681,ygaT,gene:BAE76779,hypothetical protein
gene2682,ygaF,gene:BAA16521,hypothetical protein
gene2683,gabD,gene:BAA16524,succinate-semialdehyde dehydrogenase I%2C NADP-dependent
gene2684,gabT,gene:BAA16525,4-aminobutyrate aminotransferase%2C PLP-dependent
gene2685,gabP,gene:BAA16526,gamma-aminobutyrate transporter
gene2686,csiR,gene:BAA16527,DNA-binding transcriptional dual regulator
gene2687,ygaU,gene:BAA16528,hypothetical protein
gene2688,yqaE,gene:BAA16529,predicted membrane protein
gene2689,ygaV,gene:BAA16530,predicted DNA-binding transcriptional regulator
gene2690,ygaP,gene:BAE76780,predicted inner membrane protein with hydrolase activity
gene2691,stpA,gene:BAA16535,DNA binding protein%2C nucleoid-associated
gene2692,ygaW,gene:BAE76781,predicted inner membrane protein
gene2693,ygaC,gene:BAA16536,hypothetical protein
gene2694,ygaM,gene:BAA16537,hypothetical protein
gene2695,nrdH,gene:BAE76782,glutaredoxin-like protein
gene2696,nrdI,gene:BAA16538,protein that stimulates ribonucleotide reduction
gene2697,nrdE,gene:BAA16539,ribonucleoside-diphosphate reductase 2%2C alpha subunit
gene2698,nrdF,gene:BAA16541,ribonucleoside-diphosphate reductase 2%2C beta subunit%2C ferritin-like
gene2699,proV,gene:BAA16542,glycine betaine transporter subunit
gene2700,proW,gene:BAA16543,glycine betaine transporter subunit
gene2701,proX,gene:BAA16544,glycine betaine transporter subunit
gene2702,ygaX,gene:BAE76783,predicted transporter
gene2703,ygaY,,
gene2704,ygaZ,gene:BAE76784,predicted transporter
gene2705,ygaH,gene:BAA16545,predicted inner membrane protein
gene2706,mprA,gene:BAA16546,DNA-binding transcriptional regulator
gene2707,emrA,gene:BAA16547,multidrug efflux system
gene2708,emrB,gene:BAA16548,multidrug efflux system protein
gene2709,luxS,gene:BAA16549,S-ribosylhomocysteinase
gene2710,sraD,,
gene2711,gshA,gene:BAA16555,gamma-glutamate-cysteine ligase
gene2712,yqaA,gene:BAA16556,conserved inner membrane protein
gene2713,yqaB,gene:BAA16557,predicted hydrolase
gene2714,argQ,,
gene2715,argZ,,
gene2716,argY,,
gene2717,argV,,
gene2718,serV,,
gene2719,csrA,gene:BAA16558,pleiotropic regulatory protein for carbon source metabolism
gene2720,alaS,gene:BAA16559,alanyl-tRNA synthetase
gene2721,recX,gene:BAA16560,regulatory protein for RecA
gene2722,recA,gene:BAA16561,DNA strand exchange and recombination protein with protease and nuclease activity
gene2723,ygaD,gene:BAA16562,conserved hypothetical protein
gene2724,mltB,gene:BAA16563,membrane-bound lytic murein transglycosylase B
gene2725,srlA,gene:BAA18886,glucitol/sorbitol-specific enzyme IIC component of PTS
gene2726,srlE,gene:BAA16564,glucitol/sorbitol-specific enzyme IIB component of PTS
gene2727,srlB,gene:BAA16565,glucitol/sorbitol-specific enzyme IIA component of PTS
gene2728,srlD,gene:BAA16566,sorbitol-6-phosphate dehydrogenase
gene2729,gutM,gene:BAA16567,DNA-binding transcriptional activator
gene2730,srlR,gene:BAA16568,DNA-bindng transcriptional repressor
gene2731,gutQ,gene:BAE76785,predicted phosphosugar-binding protein
gene2732,norR,gene:BAE76786,DNA-binding transcriptional activator
gene2733,norV,gene:BAE76787,flavorubredoxin oxidoreductase
